TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2021,11,21,6,33,10XX ALBERNI ST,West End,491015.9434,5459166.1397
Break and Enter Commercial,2021,11,26,13,58,10XX BARCLAY ST,West End,490833.8455,5458886.5345
Break and Enter Commercial,2021,12,14,2,2,10XX BEACH AVE,Central Business District,490252.3815,5458162.7231
Break and Enter Commercial,2021,7,17,5,0,10XX BEACH AVE,Central Business District,490255.3982,5458158.7882
Break and Enter Commercial,2021,6,15,4,0,10XX BEACH AVE,Central Business District,490258.4148,5458154.8532
Break and Enter Commercial,2021,7,23,6,12,10XX BEACH AVE,Central Business District,490269.91,5458141.1263
Break and Enter Commercial,2021,9,2,0,0,10XX BROUGHTON ST,West End,490247.4903,5459171.3852
Break and Enter Commercial,2021,7,20,14,26,10XX BURNABY ST,West End,490495.4166,5458443.882
Break and Enter Commercial,2021,8,25,12,0,10XX BURNABY ST,West End,490500.2381,5458425.9166
Break and Enter Commercial,2021,3,23,17,14,10XX BURRARD ST,West End,490729.8291,5458622.3417
Break and Enter Commercial,2021,2,14,7,35,10XX BUTE ST,West End,490409.1263,5458906.3199
Break and Enter Commercial,2021,10,22,6,29,10XX CAMBIE ST,Central Business District,491407.3592,5458130.6092
Break and Enter Commercial,2021,5,6,3,27,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,5,12,2,17,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,8,11,3,20,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,9,1,4,5,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,10,17,3,48,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,12,26,7,27,10XX CANADA PL,Central Business District,491493.3778,5459541.9474
Break and Enter Commercial,2021,6,12,4,31,10XX COMMERCIAL DR,Grandview-Woodland,494937.7242,5458109.1122
Break and Enter Commercial,2021,7,31,3,30,10XX COMMERCIAL DR,Grandview-Woodland,494937.7242,5458109.1122
Break and Enter Commercial,2021,4,18,3,58,10XX COMMERCIAL DR,Grandview-Woodland,494946.4726,5458070.4437
Break and Enter Commercial,2021,10,25,9,29,10XX COMOX ST,West End,490671.1046,5458723.6613
Break and Enter Commercial,2021,10,10,13,59,10XX DAVIE ST,West End,490457.8657,5458626.1529
Break and Enter Commercial,2021,6,17,5,10,10XX DAVIE ST,West End,490490.616,5458593.8586
Break and Enter Commercial,2021,8,5,19,15,10XX DAVIE ST,West End,490512.2892,5458572.4873
Break and Enter Commercial,2021,8,13,20,0,10XX DAVIE ST,West End,490512.2892,5458572.4873
Break and Enter Commercial,2021,3,8,5,53,10XX DAVIE ST,West End,490547.508,5458537.759
Break and Enter Commercial,2021,9,8,5,59,10XX DAVIE ST,West End,490547.508,5458537.759
Break and Enter Commercial,2021,5,30,4,45,10XX DAVIE ST,West End,490551.2192,5458546.9414
Break and Enter Commercial,2021,8,20,6,0,10XX DAVIE ST,West End,490552.0019,5458546.1697
Break and Enter Commercial,2021,2,14,19,0,10XX DENMAN ST,West End,489834.1784,5459555.6184
Break and Enter Commercial,2021,12,9,22,30,10XX DENMAN ST,West End,489835.2582,5459556.7125
Break and Enter Commercial,2021,12,4,7,30,10XX E BROADWAY AVE,Mount Pleasant,493947.3834,5456638.568
Break and Enter Commercial,2021,2,4,0,0,10XX E BROADWAY AVE,Mount Pleasant,494014.5032,5456637.6353
Break and Enter Commercial,2021,3,5,8,10,10XX E CORDOVA ST,Strathcona,494025.6382,5458795.8085
Break and Enter Commercial,2021,6,14,16,0,10XX EXPO BLVD,Central Business District,491544.5157,5458009.7425
Break and Enter Commercial,2021,12,8,3,30,10XX GILFORD ST,West End,489706.2282,5459642.1122
Break and Enter Commercial,2021,12,6,4,32,10XX GRANVILLE ST,Central Business District,490982.9544,5458430.8928
Break and Enter Commercial,2021,10,29,7,38,10XX GRANVILLE ST,Central Business District,490989.548,5458450.7113
Break and Enter Commercial,2021,11,5,7,1,10XX GRANVILLE ST,Central Business District,490989.548,5458450.7113
Break and Enter Commercial,2021,10,13,4,52,10XX GRANVILLE ST,Central Business District,490996.1317,5458444.3653
Break and Enter Commercial,2021,6,6,0,20,10XX GRANVILLE ST,Central Business District,491000.3223,5458448.6497
Break and Enter Commercial,2021,4,6,9,24,10XX GRANVILLE ST,Central Business District,491009.244,5458470.8481
Break and Enter Commercial,2021,3,25,5,58,10XX GRANVILLE ST,Central Business District,491023.1195,5458485.0345
Break and Enter Commercial,2021,4,12,1,0,10XX GRANVILLE ST,Central Business District,491025.2148,5458487.1767
Break and Enter Commercial,2021,4,19,4,30,10XX GRANVILLE ST,Central Business District,491029.6565,5458478.6407
Break and Enter Commercial,2021,3,24,7,3,10XX HAMILTON ST,Central Business District,491228.7215,5458179.0041
Break and Enter Commercial,2021,4,29,17,0,10XX HAMILTON ST,Central Business District,491263.115,5458200.9662
Break and Enter Commercial,2021,10,20,11,45,10XX HARO ST,West End,490899.2273,5458973.8647
Break and Enter Commercial,2021,10,25,9,45,10XX HARO ST,West End,490899.2273,5458973.8647
Break and Enter Commercial,2021,11,17,1,38,10XX HARO ST,West End,490899.2273,5458973.8647
Break and Enter Commercial,2021,11,20,2,57,10XX HARO ST,West End,490899.2273,5458973.8647
Break and Enter Commercial,2021,6,19,3,29,10XX HARWOOD ST,West End,490348.9488,5458424.6872
Break and Enter Commercial,2021,8,25,15,15,10XX HARWOOD ST,West End,490371.2944,5458414.9856
Break and Enter Commercial,2021,5,19,2,0,10XX HOMER ST,Central Business District,491198.8052,5458234.0738
Break and Enter Commercial,2021,4,15,0,0,10XX HORNBY ST,Central Business District,490834.1963,5458565.9821
Break and Enter Commercial,2021,4,15,17,0,10XX HORNBY ST,Central Business District,490834.1963,5458565.9821
Break and Enter Commercial,2021,5,1,16,0,10XX HORNBY ST,Central Business District,490834.1963,5458565.9821
Break and Enter Commercial,2021,6,3,3,42,10XX HORNBY ST,Central Business District,490834.1963,5458565.9821
Break and Enter Commercial,2021,6,3,23,57,10XX HORNBY ST,Central Business District,490834.1963,5458565.9821
Break and Enter Commercial,2021,3,30,3,33,10XX HORNBY ST,Central Business District,490907.2702,5458640.7425
Break and Enter Commercial,2021,12,7,5,0,10XX HOWE ST,Central Business District,490943.8893,5458551.4228
Break and Enter Commercial,2021,9,24,7,8,10XX HOWE ST,Central Business District,490965.2674,5458560.1973
Break and Enter Commercial,2021,11,4,15,4,10XX HOWE ST,Central Business District,490965.2674,5458560.1973
Break and Enter Commercial,2021,2,13,16,43,10XX JERVIS ST,West End,490409.621,5459131.1083
Break and Enter Commercial,2021,12,18,7,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494001.5656,5455606.074
Break and Enter Commercial,2021,12,28,2,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494001.5656,5455606.074
Break and Enter Commercial,2021,7,24,7,46,10XX KINGSWAY AVE,Kensington-Cedar Cottage,494042.2591,5455588.0472
Break and Enter Commercial,2021,2,15,17,19,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2021,12,16,5,33,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2021,12,26,4,10,10XX LAURIER AVE,Shaughnessy,490704.3405,5455350.0258
Break and Enter Commercial,2021,1,3,21,48,10XX MAIN ST,Strathcona,492743.2373,5458089.6091
Break and Enter Commercial,2021,6,4,14,24,10XX MAIN ST,Strathcona,492743.5459,5458101.4995
Break and Enter Commercial,2021,3,23,20,0,10XX MAINLAND ST,Central Business District,491270.394,5458129.5441
Break and Enter Commercial,2021,1,15,10,11,10XX MAINLAND ST,Central Business District,491283.8046,5458143.4536
Break and Enter Commercial,2021,3,3,17,9,10XX MAINLAND ST,Central Business District,491318.0416,5458178.9614
Break and Enter Commercial,2021,9,9,8,45,10XX MARINASIDE CRES,Central Business District,491399.9852,5457863.3141
Break and Enter Commercial,2021,3,19,11,0,10XX MARINASIDE CRES,Central Business District,491477.7038,5457857.4994
Break and Enter Commercial,2021,10,16,4,2,10XX MARINASIDE CRES,Central Business District,491543.9092,5457836.0862
Break and Enter Commercial,2021,12,31,5,25,10XX MARINASIDE CRES,Central Business District,491545.474,5457835.8202
Break and Enter Commercial,2021,6,12,0,0,10XX NELSON ST,West End,490787.3166,5458775.1295
Break and Enter Commercial,2021,7,21,0,3,10XX NELSON ST,West End,490787.3166,5458775.1295
Break and Enter Commercial,2021,8,2,7,33,10XX NELSON ST,West End,490787.3166,5458775.1295
Break and Enter Commercial,2021,9,9,20,40,10XX NELSON ST,West End,490787.3166,5458775.1295
Break and Enter Commercial,2021,9,14,3,29,10XX NELSON ST,West End,490787.3166,5458775.1295
Break and Enter Commercial,2021,9,24,2,42,10XX NELSON ST,West End,490787.3166,5458775.1295
Break and Enter Commercial,2021,12,14,2,50,10XX PACIFIC BLVD,Central Business District,491600.8476,5457927.7939
Break and Enter Commercial,2021,12,1,2,0,10XX PARKER ST,Strathcona,494080.0022,5458126.7591
Break and Enter Commercial,2021,12,6,2,0,10XX PARKER ST,Strathcona,494084.108,5458126.6536
Break and Enter Commercial,2021,1,1,4,48,10XX RICHARDS ST,Central Business District,491127.0236,5458305.7226
Break and Enter Commercial,2021,12,8,4,51,10XX ROBSON ST,West End,490924.6317,5459091.0189
Break and Enter Commercial,2021,12,26,5,37,10XX ROBSON ST,West End,490942.3287,5459086.387
Break and Enter Commercial,2021,3,5,3,0,10XX ROBSON ST,West End,491004.6735,5459024.7773
Break and Enter Commercial,2021,9,8,2,18,10XX ROBSON ST,West End,491039.1483,5458990.7098
Break and Enter Commercial,2021,1,24,17,50,10XX ROBSON ST,West End,491045.5704,5458984.3631
Break and Enter Commercial,2021,12,5,7,0,10XX SEYMOUR ST,Central Business District,491035.1506,5458335.9447
Break and Enter Commercial,2021,11,10,6,45,10XX SEYMOUR ST,Central Business District,491044.9783,5458358.9775
Break and Enter Commercial,2021,1,30,19,42,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,2,15,17,35,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,7,21,5,37,10XX SEYMOUR ST,Central Business District,491045.7887,5458359.801
Break and Enter Commercial,2021,11,28,3,30,10XX SEYMOUR ST,Central Business District,491097.2605,5458412.1342
Break and Enter Commercial,2021,9,3,0,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2021,11,24,1,0,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2021,7,10,20,1,10XX VERNON DR,Strathcona,494274.836,5458072.496
Break and Enter Commercial,2021,12,30,0,0,10XX W 14TH AVE,Fairview,490697.768,5456231.3295
Break and Enter Commercial,2021,5,8,22,23,10XX W BROADWAY AVE,Fairview,490635.9675,5456745.126
Break and Enter Commercial,2021,2,13,18,0,10XX W BROADWAY AVE,Fairview,490645.9489,5456744.8706
Break and Enter Commercial,2021,6,15,13,20,10XX W BROADWAY AVE,Fairview,490670.584,5456744.2403
Break and Enter Commercial,2021,2,8,12,40,10XX W BROADWAY AVE,Fairview,490693.1169,5456752.8105
Break and Enter Commercial,2021,6,3,22,57,10XX W BROADWAY AVE,Fairview,490731.1096,5456742.6909
Break and Enter Commercial,2021,7,9,11,5,10XX W GEORGIA ST,West End,491128.3155,5459137.8634
Break and Enter Commercial,2021,7,25,5,53,10XX W PENDER ST,Central Business District,491263.9592,5459407.5907
Break and Enter Commercial,2021,1,4,3,30,10XX W PENDER ST,Central Business District,491334.3085,5459373.6824
Break and Enter Commercial,2021,1,11,5,50,10XX W PENDER ST,Central Business District,491334.3085,5459373.6824
Break and Enter Commercial,2021,3,20,16,53,10XX W PENDER ST,Central Business District,491334.3085,5459373.6824
Break and Enter Commercial,2021,10,28,1,50,10XX W PENDER ST,Central Business District,491334.3085,5459373.6824
Break and Enter Commercial,2021,9,23,2,40,10XX W WATERFRONT RD,Central Business District,491431.4397,5459569.4348
Break and Enter Commercial,2021,1,12,8,53,11XX ALBERNI ST,West End,490894.9534,5459283.8872
Break and Enter Commercial,2021,5,30,12,52,11XX ALBERNI ST,West End,490918.5751,5459261.0065
Break and Enter Commercial,2021,4,30,2,30,11XX ALBERNI ST,West End,491001.9697,5459192.9578
Break and Enter Commercial,2021,6,14,5,10,11XX BARCLAY ST,West End,490719.7587,5458990.7341
Break and Enter Commercial,2021,5,22,1,0,11XX BARCLAY ST,West End,490749.3026,5458973.8993
Break and Enter Commercial,2021,5,27,15,54,11XX BARCLAY ST,West End,490749.3026,5458973.8993
Break and Enter Commercial,2021,3,12,0,0,11XX BIDWELL ST,West End,489821.5559,5459300.1997
Break and Enter Commercial,2021,12,8,4,49,11XX BIDWELL ST,West End,489821.5559,5459300.1997
Break and Enter Commercial,2021,2,5,19,30,11XX BROUGHTON ST,West End,490203.1403,5459113.6875
Break and Enter Commercial,2021,1,25,15,40,11XX BURNABY ST,West End,490317.8309,5458622.1344
Break and Enter Commercial,2021,1,22,6,35,11XX BURRARD ST,Central Business District,490652.6966,5458531.0645
Break and Enter Commercial,2021,11,10,19,0,11XX BURRARD ST,Central Business District,490652.6966,5458531.0645
Break and Enter Commercial,2021,8,1,3,40,11XX BUTE ST,West End,490346.8568,5458842.2591
Break and Enter Commercial,2021,10,17,0,46,11XX BUTE ST,West End,490346.8568,5458842.2591
Break and Enter Commercial,2021,3,15,4,9,11XX CHESTNUT ST,Kitsilano,489371.2063,5458167.6272
Break and Enter Commercial,2021,1,8,21,0,11XX COMMERCIAL DR,Grandview-Woodland,494935.803,5457925.3471
Break and Enter Commercial,2021,4,6,14,39,11XX DAVIE ST,West End,490360.0777,5458725.7671
Break and Enter Commercial,2021,5,29,8,10,11XX DAVIE ST,West End,490360.0777,5458725.7671
Break and Enter Commercial,2021,6,7,16,22,11XX DAVIE ST,West End,490360.0777,5458725.7671
Break and Enter Commercial,2021,5,13,10,28,11XX DAVIE ST,West End,490377.2503,5458708.2475
Break and Enter Commercial,2021,6,3,3,1,11XX DAVIE ST,West End,490377.2503,5458708.2475
Break and Enter Commercial,2021,11,12,6,22,11XX DAVIE ST,West End,490417.9352,5458679.8021
Break and Enter Commercial,2021,6,23,3,0,11XX DAVIE ST,West End,490437.0686,5458647.2185
Break and Enter Commercial,2021,7,6,2,7,11XX DAVIE ST,West End,490446.4503,5458650.71
Break and Enter Commercial,2021,4,14,2,43,11XX DAVIE ST,West End,490449.3018,5458647.8008
Break and Enter Commercial,2021,5,25,3,45,11XX DAVIE ST,West End,490449.3018,5458647.8008
Break and Enter Commercial,2021,8,6,3,30,11XX DENMAN ST,West End,489719.0614,5459439.601
Break and Enter Commercial,2021,11,16,7,9,11XX DENMAN ST,West End,489786.1324,5459493.8933
Break and Enter Commercial,2021,8,22,8,25,11XX E GEORGIA ST,Strathcona,494116.6686,5458385.1489
Break and Enter Commercial,2021,7,8,2,59,11XX E HASTINGS ST,Strathcona,494132.2128,5458699.0915
Break and Enter Commercial,2021,6,20,16,51,11XX FORGE WALK,Fairview,490541.3679,5457194.1978
Break and Enter Commercial,2021,7,15,6,11,11XX FOUNDRY QUAY,Fairview,490503.7254,5457215.1532
Break and Enter Commercial,2021,5,5,17,30,11XX FRANKLIN ST,Strathcona,494162.8569,5458837.4268
Break and Enter Commercial,2021,3,21,3,0,11XX FRANKLIN ST,Strathcona,494180.215,5458846.2595
Break and Enter Commercial,2021,5,6,18,0,11XX FRANKLIN ST,Strathcona,494211.5714,5458836.549
Break and Enter Commercial,2021,2,12,3,30,11XX GILFORD ST,West End,489677.2724,5459612.6816
Break and Enter Commercial,2021,6,9,4,0,11XX GILFORD ST,West End,489677.2724,5459612.6816
Break and Enter Commercial,2021,11,24,19,0,11XX GRANT ST,Strathcona,494207.007,5457637.0136
Break and Enter Commercial,2021,1,15,8,4,11XX GRANT ST,Strathcona,494257.3745,5457645.8901
Break and Enter Commercial,2021,4,6,0,0,11XX GRANVILLE ST,Central Business District,490868.4229,5458327.9883
Break and Enter Commercial,2021,2,10,3,0,11XX GRANVILLE ST,Central Business District,490910.8728,5458370.6633
Break and Enter Commercial,2021,1,22,5,55,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.4658
Break and Enter Commercial,2021,1,24,5,25,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.4658
Break and Enter Commercial,2021,10,18,7,2,11XX GRANVILLE ST,Central Business District,490923.6078,5458383.4658
Break and Enter Commercial,2021,12,20,5,10,11XX HAMILTON ST,Central Business District,491088.8721,5458037.8945
Break and Enter Commercial,2021,5,23,4,0,11XX HAMILTON ST,Central Business District,491126.5893,5458062.8575
Break and Enter Commercial,2021,4,16,4,46,11XX HAMILTON ST,Central Business District,491137.7915,5458074.123
Break and Enter Commercial,2021,10,9,7,30,11XX HAMILTON ST,Central Business District,491169.8317,5458106.3448
Break and Enter Commercial,2021,5,26,18,0,11XX HAMILTON ST,Central Business District,491180.5117,5458117.0854
Break and Enter Commercial,2021,2,11,6,15,11XX HARO ST,West End,490800.6769,5459060.2944
Break and Enter Commercial,2021,5,25,6,2,11XX HARO ST,West End,490800.6769,5459060.2944
Break and Enter Commercial,2021,7,15,4,0,11XX HARWOOD ST,West End,490225.1858,5458548.4101
Break and Enter Commercial,2021,3,4,0,0,11XX HOMER ST,Central Business District,491082.9524,5458117.5657
Break and Enter Commercial,2021,5,17,5,40,11XX HOMER ST,Central Business District,491082.9524,5458117.5657
Break and Enter Commercial,2021,4,16,5,32,11XX HOMER ST,Central Business District,491106.5262,5458128.1173
Break and Enter Commercial,2021,12,8,23,40,11XX HOMER ST,Central Business District,491107.3085,5458141.7926
Break and Enter Commercial,2021,4,6,8,13,11XX HOMER ST,Central Business District,491117.2295,5458138.7638
Break and Enter Commercial,2021,4,21,14,0,11XX HOMER ST,Central Business District,491117.2295,5458138.7638
Break and Enter Commercial,2021,9,29,6,16,11XX HORNBY ST,Central Business District,490740.8735,5458469.7541
Break and Enter Commercial,2021,2,20,18,3,11XX HORNBY ST,Central Business District,490749.4559,5458491.8222
Break and Enter Commercial,2021,6,7,9,44,11XX HORNBY ST,Central Business District,490761.5509,5458491.19
Break and Enter Commercial,2021,12,26,2,54,11XX HOWE ST,Central Business District,490776.4628,5458368.0446
Break and Enter Commercial,2021,1,2,16,0,11XX HOWE ST,Central Business District,490828.7603,5458434.0366
Break and Enter Commercial,2021,2,5,8,57,11XX JERVIS ST,West End,490211.7551,5458935.6781
Break and Enter Commercial,2021,9,15,3,0,11XX JERVIS ST,West End,490236.5276,5458948.4054
Break and Enter Commercial,2021,10,29,10,27,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494072.8295,5455566.2061
Break and Enter Commercial,2021,4,26,12,58,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494173.9265,5455494.1678
Break and Enter Commercial,2021,1,6,2,38,11XX MAIN ST,Central Business District,492719.7044,5457961.2391
Break and Enter Commercial,2021,9,13,22,36,11XX MAIN ST,Central Business District,492719.7044,5457961.2391
Break and Enter Commercial,2021,7,4,6,54,11XX MAIN ST,Central Business District,492721.5119,5458013.1693
Break and Enter Commercial,2021,12,11,15,0,11XX MAINLAND ST,Central Business District,491142.8658,5458001.6305
Break and Enter Commercial,2021,12,23,0,0,11XX MAINLAND ST,Central Business District,491174.4426,5458032.915
Break and Enter Commercial,2021,5,21,10,33,11XX MAINLAND ST,Central Business District,491174.587,5458033.0579
Break and Enter Commercial,2021,7,1,18,0,11XX MAINLAND ST,Central Business District,491174.587,5458033.0579
Break and Enter Commercial,2021,12,23,4,14,11XX MAINLAND ST,Central Business District,491201.8392,5458072.93
Break and Enter Commercial,2021,7,11,4,0,11XX MELVILLE ST,Central Business District,491076.9743,5459365.1598
Break and Enter Commercial,2021,10,24,10,53,11XX MELVILLE ST,Central Business District,491076.9743,5459365.1598
Break and Enter Commercial,2021,9,6,12,0,11XX MELVILLE ST,Central Business District,491105.7434,5459337.3253
Break and Enter Commercial,2021,7,20,4,43,11XX MELVILLE ST,Central Business District,491117.6931,5459313.0404
Break and Enter Commercial,2021,11,7,6,55,11XX PACIFIC BLVD,Central Business District,491207.8565,5457956.2702
Break and Enter Commercial,2021,5,30,4,26,11XX PACIFIC BLVD,Central Business District,491291.1095,5457960.5017
Break and Enter Commercial,2021,5,26,1,30,11XX QUEBEC ST,Central Business District,492601.7051,5457942.2624
Break and Enter Commercial,2021,2,9,4,19,11XX RICHARDS ST,Central Business District,491059.8322,5458225.4293
Break and Enter Commercial,2021,10,14,21,0,11XX ROBSON ST,West End,490780.3632,5459235.0339
Break and Enter Commercial,2021,12,6,5,2,11XX ROBSON ST,West End,490783.7617,5459244.5635
Break and Enter Commercial,2021,6,2,17,17,11XX ROBSON ST,West End,490819.502,5459195.9426
Break and Enter Commercial,2021,2,26,3,48,11XX ROBSON ST,West End,490827.9425,5459187.5124
Break and Enter Commercial,2021,1,2,7,21,11XX ROBSON ST,West End,490859.7257,5459168.6914
Break and Enter Commercial,2021,8,19,4,41,11XX ROBSON ST,West End,490882.2335,5459146.2108
Break and Enter Commercial,2021,11,13,1,0,11XX ROBSON ST,West End,490909.5334,5459106.0202
Break and Enter Commercial,2021,9,4,7,10,11XX ROBSON ST,West End,490913.1821,5459115.3003
Break and Enter Commercial,2021,11,7,6,16,11XX ROBSON ST,West End,490915.9953,5459112.4899
Break and Enter Commercial,2021,6,20,13,5,11XX SE MARINE DR,Sunset,493932.9192,5450918.8612
Break and Enter Commercial,2021,4,12,20,14,11XX SEYMOUR ST,Central Business District,490943.0067,5458256.6083
Break and Enter Commercial,2021,12,3,10,43,11XX SEYMOUR ST,Central Business District,490943.0067,5458256.6083
Break and Enter Commercial,2021,11,16,3,52,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.6172
Break and Enter Commercial,2021,4,24,2,33,11XX STEWART ST,Strathcona,494314.7694,5458996.7693
Break and Enter Commercial,2021,7,26,8,51,11XX THURLOW ST,West End,490555.7889,5458741.6652
Break and Enter Commercial,2021,7,19,0,0,11XX W 10TH AVE,Fairview,490500.245,5456651.0756
Break and Enter Commercial,2021,6,9,10,17,11XX W 11TH AVE,Fairview,490546.3489,5456537.8564
Break and Enter Commercial,2021,3,2,22,0,11XX W 13TH AVE,Fairview,490549.2045,5456327.8838
Break and Enter Commercial,2021,12,13,9,2,11XX W 7TH AVE,Fairview,490515.7596,5456942.9275
Break and Enter Commercial,2021,6,16,7,34,11XX W 8TH AVE,Fairview,490595.9296,5456857.3142
Break and Enter Commercial,2021,6,9,2,30,11XX W BROADWAY AVE,Fairview,490561.2828,5456747.1562
Break and Enter Commercial,2021,9,6,3,16,11XX W GEORGIA ST,Central Business District,490967.3844,5459309.7253
Break and Enter Commercial,2021,3,8,19,0,11XX W PENDER ST,Central Business District,491040.1606,5459519.3469
Break and Enter Commercial,2021,10,15,18,0,11XX W PENDER ST,Central Business District,491040.1606,5459519.3469
Break and Enter Commercial,2021,8,30,18,53,11XX W PENDER ST,Central Business District,491056.0568,5459502.0768
Break and Enter Commercial,2021,12,5,1,56,11XX W PENDER ST,Central Business District,491150.5214,5459459.1373
Break and Enter Commercial,2021,1,15,9,24,11XX W PENDER ST,Central Business District,491170.2015,5459450.1916
Break and Enter Commercial,2021,6,14,3,15,11XX W PENDER ST,Central Business District,491170.2015,5459450.1916
Break and Enter Commercial,2021,8,5,5,10,11XX W PENDER ST,Central Business District,491170.2015,5459450.1916
Break and Enter Commercial,2021,12,5,2,20,11XX W PENDER ST,Central Business District,491170.2015,5459450.1916
Break and Enter Commercial,2021,12,5,2,15,11XX W PENDER ST,Central Business District,491171.8637,5459449.436
Break and Enter Commercial,2021,4,25,5,0,11XX W PENDER ST,Central Business District,491205.6258,5459434.0893
Break and Enter Commercial,2021,8,31,21,30,12XX BEACH AVE,West End,489999.8699,5458560.893
Break and Enter Commercial,2021,7,20,0,0,12XX BIDWELL ST,West End,489727.7164,5459217.15
Break and Enter Commercial,2021,5,7,23,0,12XX BIDWELL ST,West End,489793.4799,5459271.2759
Break and Enter Commercial,2021,5,14,3,30,12XX BIDWELL ST,West End,489793.4799,5459271.2759
Break and Enter Commercial,2021,9,20,9,6,12XX BIDWELL ST,West End,489793.4799,5459271.2759
Break and Enter Commercial,2021,4,10,3,0,12XX BURNABY ST,West End,490152.2575,5458787.7725
Break and Enter Commercial,2021,3,22,3,49,12XX BURNABY ST,West End,490193.3363,5458732.4223
Break and Enter Commercial,2021,6,30,4,17,12XX BURNABY ST,West End,490193.3363,5458732.4223
Break and Enter Commercial,2021,8,31,17,0,12XX BURNABY ST,West End,490193.3363,5458732.4223
Break and Enter Commercial,2021,11,4,15,53,12XX BURNABY ST,West End,490193.3363,5458732.4223
Break and Enter Commercial,2021,4,18,5,48,12XX BURRARD ST,Central Business District,490501.3698,5458380.2495
Break and Enter Commercial,2021,2,17,20,0,12XX BURRARD ST,Central Business District,490562.8367,5458441.0069
Break and Enter Commercial,2021,12,22,21,30,12XX BUTE ST,West End,490290.4936,5458774.4614
Break and Enter Commercial,2021,1,26,0,28,12XX CARTWRIGHT ST,Fairview,490310.9848,5457441.837
Break and Enter Commercial,2021,2,14,6,5,12XX COMMERCIAL DR,Grandview-Woodland,494943.4693,5457836.7324
Break and Enter Commercial,2021,11,6,8,39,12XX DAVIE ST,West End,490290.4312,5458796.552
Break and Enter Commercial,2021,12,12,2,44,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.7816
Break and Enter Commercial,2021,12,25,4,20,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.7816
Break and Enter Commercial,2021,6,2,20,57,12XX E 27TH AVE,Kensington-Cedar Cottage,494195.572,5454864.5774
Break and Enter Commercial,2021,1,15,10,34,12XX E 8TH AVE,Mount Pleasant,494266.4806,5456729.0395
Break and Enter Commercial,2021,4,18,1,30,12XX E 8TH AVE,Mount Pleasant,494274.1557,5456738.1096
Break and Enter Commercial,2021,6,21,17,55,12XX E HASTINGS ST,Strathcona,494250.7589,5458718.065
Break and Enter Commercial,2021,8,30,19,0,12XX FRANCES ST,Strathcona,494318.966,5458523.2981
Break and Enter Commercial,2021,10,6,15,7,12XX GRANVILLE ST,Central Business District,490735.5593,5458179.6551
Break and Enter Commercial,2021,11,27,2,0,12XX GRANVILLE ST,Central Business District,490745.3188,5458189.6641
Break and Enter Commercial,2021,8,8,6,21,12XX HAMILTON ST,Central Business District,490978.5574,5457927.808
Break and Enter Commercial,2021,12,24,6,37,12XX HAMILTON ST,Central Business District,491007.7821,5457956.9376
Break and Enter Commercial,2021,7,14,10,13,12XX HAMILTON ST,Central Business District,491023.1833,5457972.2888
Break and Enter Commercial,2021,1,3,3,25,12XX HARWOOD ST,West End,490097.4768,5458687.5772
Break and Enter Commercial,2021,1,11,18,44,12XX HARWOOD ST,West End,490097.4768,5458687.5772
Break and Enter Commercial,2021,2,3,3,13,12XX HOMER ST,Central Business District,490933.6432,5457955.1989
Break and Enter Commercial,2021,5,27,20,42,12XX HOMER ST,Central Business District,490933.6432,5457955.1989
Break and Enter Commercial,2021,10,21,1,20,12XX HOMER ST,Central Business District,490990.5557,5458012.3362
Break and Enter Commercial,2021,4,13,4,45,12XX HOMER ST,Central Business District,491030.8311,5458052.7713
Break and Enter Commercial,2021,11,17,4,53,12XX HOMER ST,Central Business District,491030.8311,5458052.7713
Break and Enter Commercial,2021,4,25,6,56,12XX HORNBY ST,Central Business District,490582.1086,5458308.1094
Break and Enter Commercial,2021,9,12,19,0,12XX HOWE ST,Central Business District,490632.7791,5458236.7813
